date,area,dead,in_icu,in_ward,hospitalized
2020-03-21,HYKS,1,0,0,0
2020-03-21,Finland,1,0,0,0
2020-03-25,HYKS,2,18,45,63
2020-03-25,KYS,0,3,3,6
2020-03-25,OYS,0,1,3,4
2020-03-25,TAYS,1,0,7,7
2020-03-25,TYKS,0,0,2,2
2020-03-25,Finland,3,22,60,82
2020-03-26,HYKS,3,18,56,74
2020-03-26,Other than HYKS,1,6,16,22
2020-03-26,Finland,4,24,72,96
2020-03-27,HYKS,6,24,57,81
2020-03-27,KYS,0,4,4,8
2020-03-27,OYS,0,1,5,6
2020-03-27,TAYS,1,0,7,7
2020-03-27,TYKS,0,3,3,6
2020-03-27,Finland,7,32,76,108
2020-03-28,HYKS,7,23,60,83
2020-03-28,KYS,0,4,4,8
2020-03-28,OYS,1,2,4,6
2020-03-28,TAYS,1,0,8,8
2020-03-28,TYKS,0,2,5,7
2020-03-28,Finland,9,31,81,112
2020-03-29,HYKS,9,30,69,99
2020-03-29,KYS,0,5,8,13
2020-03-29,OYS,1,2,4,6
2020-03-29,TAYS,1,2,6,8
2020-03-29,TYKS,0,2,6,8
2020-03-29,Finland,11,41,93,134
2020-03-30,HYKS,10,38,70,108
2020-03-30,KYS,1,5,8,13
2020-03-30,OYS,1,2,4,6
2020-03-30,TAYS,1,2,7,9
2020-03-30,TYKS,0,2,5,7
2020-03-30,Finland,13,49,94,143
2020-03-31,HYKS,12,42,58,100
2020-03-31,KYS,3,4,7,11
2020-03-31,OYS,1,3,2,5
2020-03-31,TAYS,1,4,9,13
2020-03-31,TYKS,0,3,5,8
2020-03-31,Finland,17,56,81,137
2020-04-01,HYKS,12,43,68,111
2020-04-01,KYS,3,6,11,17
2020-04-01,OYS,1,6,1,7
2020-04-01,TAYS,1,4,11,15
2020-04-01,TYKS,0,3,6,9
2020-04-01,Finland,17,62,97,159
2020-04-02,HYKS,13,43,65,108
2020-04-02,KYS,4,7,8,15
2020-04-02,OYS,1,7,4,11
2020-04-02,TAYS,1,4,8,12
2020-04-02,TYKS,0,4,10,14
2020-04-02,Finland,19,65,95,160
2020-04-03,HYKS,13,45,72,117
2020-04-03,KYS,5,7,8,15
2020-04-03,OYS,1,8,5,13
2020-04-03,TAYS,1,6,11,17
2020-04-03,TYKS,0,6,12,18
2020-04-03,Finland,20,72,108,180
2020-04-04,HYKS,17,43,74,117
2020-04-04,KYS,6,9,7,16
2020-04-04,OYS,1,9,8,17
2020-04-04,TAYS,1,6,12,18
2020-04-04,TYKS,0,6,13,19
2020-04-04,Finland,25,73,114,187
2020-04-05,HYKS,20,47,82,129
2020-04-05,KYS,5,10,8,18
2020-04-05,OYS,1,8,16,24
2020-04-05,TAYS,1,5,11,16
2020-04-05,TYKS,0,6,16,22
2020-04-05,Finland,27,76,133,209
2020-04-06,HYKS,20,48,101,149
2020-04-06,KYS,5,10,10,20
2020-04-06,OYS,1,11,9,20
2020-04-06,TAYS,1,6,11,17
2020-04-06,TYKS,0,6,16,22
2020-04-06,Finland,27,81,147,228
2020-04-07,HYKS,22,48,101,149
2020-04-07,KYS,9,9,13,22
2020-04-07,OYS,1,14,9,23
2020-04-07,TAYS,1,6,9,15
2020-04-07,TYKS,1,6,16,22
2020-04-07,Finland,34,83,148,231
