date,dead,in_icu,in_ward,hospitalized,confirmed
2020-01-28,0,0,0,0,1
2020-02-10,0,0,0,0,2
2020-02-22,0,0,0,0,3
2020-02-25,0,0,0,0,3
2020-02-27,0,0,0,0,4
2020-02-28,0,0,0,0,7
2020-02-29,0,0,0,0,8
2020-03-01,0,0,0,0,9
2020-03-03,0,0,0,0,12
2020-03-04,0,0,0,0,14
2020-03-05,0,0,0,0,15
2020-03-06,0,0,0,0,19
2020-03-07,0,0,0,0,23
2020-03-08,0,0,0,0,25
2020-03-09,0,0,0,0,35
2020-03-10,0,0,0,0,60
2020-03-11,0,0,0,0,104
2020-03-12,0,0,0,0,139
2020-03-13,0,0,0,0,158
2020-03-14,0,0,0,0,173
2020-03-15,0,0,0,0,221
2020-03-16,0,0,0,0,262
2020-03-17,0,0,0,0,293
2020-03-18,0,0,0,0,358
2020-03-19,0,0,0,0,433
2020-03-20,0,0,0,0,486
2020-03-21,0,0,0,0,553
2020-03-22,0,0,0,0,613
2020-03-23,0,0,0,0,654
2020-03-24,0,0,0,0,707
2020-03-25,1,13,34,48,760
2020-03-26,2,13,42,56,819
2020-03-27,4,18,43,62,868
2020-03-28,5,17,46,63,921
2020-03-29,6,23,52,75,968
2020-03-30,7,29,53,82,1028
2020-03-31,9,32,44,76,1100
2020-04-01,9,32,52,85,1199
2020-04-02,9,32,49,82,1303
2020-04-03,9,34,55,89,1435
2020-04-04,13,32,56,89,1492
2020-04-05,15,36,62,98,1579
2020-04-06,15,36,77,114,1726
2020-04-07,16,36,77,114,1855
2020-04-08,19,37,78,116,1951
2020-04-09,19,37,82,119,2055
2020-04-10,22,39,78,118,2113
2020-04-11,23,39,84,124,2156
2020-04-12,27,39,85,125,2214
2020-04-13,29,37,85,122,2307
2020-04-14,32,37,86,124,2433
2020-04-15,37,38,83,121,2536
2020-04-16,39,39,72,111,2626
2020-04-17,41,38,74,112,2723
2020-04-18,46,36,74,110,2774
2020-04-19,49,35,72,107,2827
2020-04-20,51,34,78,112,2942
2020-04-21,84,31,78,110,3035
2020-04-22,90,33,76,110,3139
2020-04-23,106,32,82,115,3239
2020-04-24,110,32,81,114,3311
2020-04-25,117,32,81,114,3382
2020-04-26,118,35,77,112,3439
2020-04-27,120,31,80,111,3536
2020-04-28,121,31,86,118,3657
2020-04-29,126,26,95,121,3753
2020-04-30,130,24,84,108,3821
2020-05-01,135,24,85,109,3860
2020-05-02,137,26,80,106,3908
2020-05-03,143,26,82,108,3964
2020-05-04,150,26,91,117,4070
2020-05-05,154,25,93,118,4173
2020-05-06,158,24,92,117,4249
2020-05-07,160,24,82,106,4334
2020-05-08,163,25,82,108,4402
2020-05-09,164,26,78,105,4445
2020-05-10,166,26,78,105,4464
2020-05-11,169,24,82,106,4536
2020-05-12,171,19,80,99,4596
2020-05-13,177,19,81,101,4661
2020-05-14,179,18,72,91,4706
2020-05-15,184,17,56,74,4753
2020-05-16,186,16,59,75,4778
2020-05-17,187,15,59,74,4804
2020-05-18,188,19,54,73,4842
2020-05-19,189,15,54,69,4877
2020-05-20,191,12,63,75,4914
2020-05-21,193,13,59,72,4930
2020-05-22,193,13,60,73,4958
2020-05-23,193,13,58,71,4969
2020-05-24,193,11,59,71,4985
2020-05-25,194,10,58,69,5019
2020-05-26,195,8,53,62,5048
2020-05-27,197,8,48,56,5057
2020-05-28,197,8,46,55,5080
2020-05-29,197,7,42,49,5098
2020-05-30,199,7,37,45,5108
2020-05-31,200,6,35,42,5116
2020-06-01,200,6,36,42,5128
2020-06-02,201,6,32,39,5140
2020-06-03,202,5,28,33,5162
2020-06-04,203,5,27,32,5173
