date,dead,in_icu,in_ward,hospitalized,confirmed
2020-01-28,0,0,0,0,1
2020-02-10,0,0,0,0,2
2020-02-22,0,0,0,0,3
2020-02-25,0,0,0,0,3
2020-02-27,0,0,0,0,4
2020-02-28,0,0,0,0,7
2020-02-29,0,0,0,0,8
2020-03-01,0,0,0,0,9
2020-03-03,0,0,0,0,12
2020-03-04,0,0,0,0,14
2020-03-05,0,0,0,0,15
2020-03-06,0,0,0,0,19
2020-03-07,0,0,0,0,23
2020-03-08,0,0,0,0,25
2020-03-09,0,0,0,0,35
2020-03-10,0,0,0,0,60
2020-03-11,0,0,0,0,104
2020-03-12,0,0,0,0,139
2020-03-13,0,0,0,0,158
2020-03-14,0,0,0,0,173
2020-03-15,0,0,0,0,221
2020-03-16,0,0,0,0,262
2020-03-17,0,0,0,0,293
2020-03-18,0,0,0,0,358
2020-03-19,0,0,0,0,433
2020-03-20,0,0,0,0,486
2020-03-21,0,0,0,0,553
2020-03-22,0,0,0,0,613
2020-03-23,0,0,0,0,654
2020-03-24,0,0,0,0,707
2020-03-25,1,13,34,48,760
2020-03-26,2,13,42,56,819
2020-03-27,4,18,43,62,868
2020-03-28,5,17,46,63,921
2020-03-29,6,23,52,75,968
2020-03-30,7,29,53,82,1029
2020-03-31,9,32,44,76,1101
2020-04-01,9,32,52,85,1200
2020-04-02,9,32,49,82,1304
2020-04-03,9,34,55,89,1436
2020-04-04,13,32,56,89,1493
2020-04-05,15,36,62,98,1580
2020-04-06,15,36,77,114,1727
2020-04-07,16,36,77,114,1856
2020-04-08,19,37,78,116,1952
2020-04-09,19,37,82,119,2056
2020-04-10,22,39,78,118,2114
2020-04-11,23,39,84,124,2157
2020-04-12,27,39,85,125,2215
2020-04-13,29,37,85,122,2308
2020-04-14,32,37,86,124,2434
2020-04-15,37,38,83,121,2537
2020-04-16,39,39,72,111,2627
2020-04-17,41,38,74,112,2724
2020-04-18,46,36,74,110,2775
2020-04-19,49,35,72,107,2828
2020-04-20,51,34,78,112,2943
2020-04-21,84,31,78,110,3036
2020-04-22,90,33,76,110,3140
2020-04-23,106,32,82,115,3240
2020-04-24,110,32,81,114,3311
2020-04-25,117,32,81,114,3382
2020-04-26,118,35,77,112,3439
2020-04-27,120,31,80,111,3537
2020-04-28,121,31,86,118,3658
2020-04-29,126,26,95,121,3755
2020-04-30,130,24,84,108,3823
2020-05-01,135,24,85,109,3862
2020-05-02,137,26,80,106,3912
2020-05-03,143,26,82,108,3968
2020-05-04,150,26,91,117,4074
2020-05-05,154,25,93,118,4177
2020-05-06,158,24,92,117,4254
2020-05-07,160,24,82,106,4339
2020-05-08,163,25,82,108,4407
2020-05-09,164,26,78,105,4450
2020-05-10,166,26,78,105,4469
2020-05-11,169,24,82,106,4541
2020-05-12,171,19,80,99,4601
2020-05-13,177,19,81,101,4666
2020-05-14,179,18,72,91,4711
2020-05-15,184,17,56,74,4758
2020-05-16,186,16,59,75,4783
2020-05-17,187,15,59,74,4809
2020-05-18,188,19,54,73,4847
2020-05-19,189,15,54,69,4883
2020-05-20,191,12,63,75,4920
2020-05-21,193,13,59,72,4936
2020-05-22,193,13,60,73,4964
2020-05-23,193,13,58,71,4975
2020-05-24,193,11,59,71,4991
2020-05-25,194,10,58,69,5025
2020-05-26,195,8,53,62,5054
2020-05-27,197,8,48,56,5063
2020-05-28,197,8,46,55,5086
2020-05-29,197,7,42,49,5104
2020-05-30,199,7,37,45,5114
2020-05-31,200,6,35,42,5122
2020-06-01,200,6,36,42,5134
2020-06-02,201,6,32,39,5146
2020-06-03,202,5,28,33,5168
2020-06-04,203,5,27,32,5179
